المعرّف,الاسم,من,إلى,مواسم,انتصارات,ألقاب,نشط
team_lotus,"Team Lotus",1958,1994,29,45,4,
vanwall,"Vanwall",1954,1960,7,10,1,
brabham,"Brabham",1962,1992,22,23,0,
alfa,"Alfa Romeo",1950,2023,16,11,0,
kurtis_kraft,"Kurtis Kraft",1950,1960,11,5,0,
watson,"Watson",1950,1960,9,3,0,
wolf,"Wolf",1976,1979,4,3,0,
cooper,"Cooper",1950,1962,9,2,0,
epperly,"Epperly",1955,1960,5,2,0,
toro_rosso,"Toro Rosso",2006,2019,14,1,0,
kuzma,"Kuzma",1951,1960,10,1,0,
shadow,"Shadow",1973,1980,7,1,0,
hesketh,"Hesketh",1974,1978,5,1,0,
alphatauri,"AlphaTauri",2020,2023,4,1,0,
osella,"Osella",1980,1990,11,0,0,
ensign,"Ensign",1973,1982,10,0,0,
lesovsky,"Lesovsky",1950,1960,9,0,0,
connaught,"Connaught",1952,1959,8,0,0,
fittipaldi,"Fittipaldi",1975,1982,8,0,0,
phillips,"Phillips",1954,1960,7,0,0,
ags,"AGS",1986,1991,6,0,0,
stevens,"Stevens",1950,1956,6,0,0,
coloni,"Coloni",1987,1991,5,0,0,
hwm,"HWM",1951,1955,5,0,0,
jaguar,"Jaguar",2000,2004,5,0,0,
toleman,"Toleman",1981,1985,5,0,0,
zakspeed,"Zakspeed",1985,1989,5,0,0,
bromme,"Bromme",1951,1954,4,0,0,
schroeder,"Schroeder",1951,1955,4,0,0,
simca,"Simca",1950,1953,4,0,0,
theodore,"Theodore",1978,1983,4,0,0,
trevis,"Trevis",1951,1960,4,0,0,
alta,"Alta",1950,1952,3,0,0,
deidt,"Deidt",1950,1952,3,0,0,
dunn,"Dunn",1957,1959,3,0,0,
era,"ERA",1950,1952,3,0,0,
eurobrun,"Euro Brun",1988,1990,3,0,0,
gilby,"Gilby",1961,1963,3,0,0,
jbw,"JBW",1959,1961,3,0,0,
lds,"LDS",1962,1968,3,0,0,
maki,"Maki",1974,1976,3,0,0,
moore,"Moore",1950,1959,3,0,0,
parnelli,"Parnelli",1974,1976,3,0,0,
pawl,"Pawl",1951,1955,3,0,0,
ram,"RAM",1983,1985,3,0,0,
spirit,"Spirit",1983,1985,3,0,0,
veritas,"Veritas",1951,1953,3,0,0,
afm,"AFM",1952,1953,2,0,0,
bellasi,"Bellasi",1970,1971,2,0,0,
boro,"Boro",1976,1977,2,0,0,
brp,"BRP",1963,1964,2,0,0,
ewing,"Ewing",1950,1960,2,0,0,
iso_marlboro,"Iso Marlboro",1973,1974,2,0,0,
kojima,"Kojima",1976,1977,2,0,0,
lago,"Talbot-Lago",1950,1951,2,0,0,
leyton,"Leyton House",1990,1991,2,0,0,
lyncar,"Lyncar",1974,1975,2,0,0,
marchese,"Marchese",1950,1951,2,0,0,
merzario,"Merzario",1978,1979,2,0,0,
nichels,"Nichels",1950,1954,2,0,0,
onyx,"Onyx",1989,1990,2,0,0,
pankratz,"Pankratz",1954,1955,2,0,0,
scirocco,"Scirocco",1963,1964,2,0,0,
sherman,"Sherman",1951,1952,2,0,0,
tecno,"Tecno",1972,1973,2,0,0,
vhristensen,"Christensen",1959,1960,2,0,0,
adams,"Adams",1950,1950,1,0,0,
amon,"Amon",1974,1974,1,0,0,
apollon,"Apollon",1977,1977,1,0,0,
arzani-volpini,"Arzani-Volpini",1955,1955,1,0,0,
behra-porsche,"Behra-Porsche",1960,1960,1,0,0,
butterworth,"Aston Butterworth",1952,1952,1,0,0,
cisitalia,"Cisitalia",1952,1952,1,0,0,
connew,"Connew",1972,1972,1,0,0,
del_roy,"Del Roy",1953,1953,1,0,0,
derrington,"Derrington",1964,1964,1,0,0,
elder,"Elder",1959,1959,1,0,0,
emw,"EMW",1953,1953,1,0,0,
enb,"ENB",1962,1962,1,0,0,
ferguson,"Ferguson",1961,1961,1,0,0,
frazer_nash,"Frazer Nash",1952,1952,1,0,0,
fry,"Fry",1959,1959,1,0,0,
hall,"Hall",1951,1951,1,0,0,
hill,"Embassy Hill",1975,1975,1,0,0,
kauhsen,"Kauhsen",1979,1979,1,0,0,
klenk,"Klenk",1954,1954,1,0,0,
lambo,"Lambo",1991,1991,1,0,0,
langley,"Langley",1950,1950,1,0,0,
lec,"LEC",1977,1977,1,0,0,
martini,"Martini",1978,1978,1,0,0,
mbm,"MBM",1961,1961,1,0,0,
mcguire,"McGuire",1977,1977,1,0,0,
meskowski,"Meskowski",1960,1960,1,0,0,
milano,"Milano",1950,1950,1,0,0,
olson,"Olson",1950,1950,1,0,0,
politoys,"Politoys",1972,1972,1,0,0,
protos,"Protos",1967,1967,1,0,0,
rae,"Rae",1950,1950,1,0,0,
re,"RE",1965,1965,1,0,0,
rebaque,"Rebaque",1979,1979,1,0,0,
scarab,"Scarab",1960,1960,1,0,0,
shannon,"Shannon",1966,1966,1,0,0,
snowberger,"Snowberger",1950,1950,1,0,0,
stebro,"Stebro",1963,1963,1,0,0,
sutton,"Sutton",1959,1959,1,0,0,
tec-mec,"Tec-Mec",1959,1959,1,0,0,
token,"Token",1974,1974,1,0,0,
trojan,"Trojan",1974,1974,1,0,0,
turner,"Turner",1953,1953,1,0,0,
wetteroth,"Wetteroth",1950,1950,1,0,0,
eagle,"Eagle",,,0,0,0,
