id,name_ar,name_en,nationality,why,titles
damon_hill,"دامون هيل","Damon Hill","بريطاني","بطل عالم",1
pease,"آل بيز","Al Pease","كندي","بلا صورة",0
gordini,"ألدو غورديني","Aldo Gordini","فرنسي","بلا صورة",0
langes,"كلاوديو لانجيس","Claudio Langes","إيطالي","بلا صورة",0
griffith,"كليف غريفيث","Cliff Griffith","أمريكي","بلا صورة",0
puzey,"كلايف بيوزي","Clive Puzey","روديسي","بلا صورة",0
chapman,"كولن تشابمان","Colin Chapman","بريطاني","بلا صورة",0
davis,"كولن ديفيس","Colin Davis","بريطاني","بلا صورة",0
colton_herta,"كولتون هيرتا","Colton Herta","","بلا صورة",0
andersson,"كوني أندرسون","Conny Andersson","سويدي","بلا صورة",0
sanesi,"كونسالفو سانيزي","Consalvo Sanesi","إيطالي","بلا صورة",0
corrado_fabi,"كورادو فابي","Corrado Fabi","إيطالي","بلا صورة",0
matta,"كريستيانو دا ماتا","Cristiano da Matta","برازيلي","بلا صورة",0
harrison,"كَث هاريسون","Cuth Harrison","بريطاني","بلا صورة",0
magee,"داميان ماغي","Damien Magee","بريطاني","بلا صورة",0
gurney,"دان غيرني","Dan Gurney","أمريكي","بلا صورة",0
ricciardo,"دانيال ريكاردو","Daniel Ricciardo","أسترالي","بلا صورة",0
kvyat,"دانييل كفيات","Daniil Kvyat","روسي","بلا صورة",0
kladis,"داني كلاديس","Danny Kladis","أمريكي","بلا صورة",0
ongais,"داني أونغايس","Danny Ongais","أمريكي","بلا صورة",0
gibson,"ديك غيبسون","Dick Gibson","بريطاني","بلا صورة",0
keizan,"إيدي كيزان","Eddie Keizan","جنوب أفريقي","بلا صورة",0
russo,"إيدي روسو","Eddie Russo","أمريكي","بلا صورة",0
bayol,"إيلي بايول","Élie Bayol","فرنسي","بلا صورة",0
lucienbonnet,"جان لوسيان بونيه","Jean Lucienbonnet","فرنسي","بلا صورة",0
kuhnke,"كورت كونكه","Kurt Kuhnke","ألماني","بلا صورة",0
lippi,"روبرتو ليبي","Roberto Lippi","إيطالي","بلا صورة",0
keller,"آل كيلر","Al Keller","أمريكي","صورة فريق",0
Changy,"ألان دو شانجي","Alain de Changy","بلجيكي","صورة فريق",0
rees,"ألان ريس","Alan Rees","بريطاني","صورة فريق",0
rollinson,"ألان رولينسون","Alan Rollinson","بريطاني","صورة فريق",0
scherrer,"ألبرت شيرير","Albert Scherrer","سويسري","صورة فريق",0
uria,"ألبرتو أوريا","Alberto Uria","أوروغوياني","صورة فريق",0
pesenti_rossi,"أليساندرو بيزنتي روسي","Alessandro Pesenti-Rossi","إيطالي","صورة فريق",0
blignaut,"أليكس بليغنوت","Alex Blignaut","جنوب أفريقي","صورة فريق",0
alexander_dunne,"ألكسندر دان","Alexander Dunne","","صورة فريق",0
berg,"ألين بيرغ","Allen Berg","كندي","صورة فريق",0
milhoux,"أندريه ميلو","André Milhoux","بلجيكي","صورة فريق",0
andre_pilette,"أندريه بيليت","André Pilette","بلجيكي","صورة فريق",0
testut,"أندريه تيستو","André Testut","مونيغاسكي","صورة فريق",0
linden,"آندي ليندن","Andy Linden","أمريكي","صورة فريق",0
sutcliffe,"أندي ساتكليف","Andy Sutcliffe","بريطاني","صورة فريق",0
creus,"أنتونيو كرويس","Antonio Creus","إسباني","صورة فريق",0
scott_Brown,"آرتشي سكوت براون","Archie Scott Brown","بريطاني","صورة فريق",0
bisch,"آرت بيش","Art Bisch","أمريكي","صورة فريق",0
arthur_leclerc,"آرثر لوكلير","Arthur Leclerc","","صورة فريق",0
legat,"آرثر ليغا","Arthur Legat","بلجيكي","صورة فريق",0
fontes,"أزدوبال فونتيس","Azdrubal Fontes","أوروغوياني","صورة فريق",0
collomb,"برنار كولوم","Bernard Collomb","فرنسي","صورة فريق",0
dryver,"برنار دو دريفير","Bernard de Dryver","بلجيكي","صورة فريق",0
roos,"بيرتيل روس","Bertil Roos","سويدي","صورة فريق",0
aston,"بيل أستون","Bill Aston","بريطاني","صورة فريق",0
cheesbourg,"بيل تشيزبورغ","Bill Cheesbourg","أمريكي","صورة فريق",0
mackey,"بيل ماكي","Bill Mackey","أمريكي","صورة فريق",0
whitehouse,"بيل وايتهاوس","Bill Whitehouse","بريطاني","صورة فريق",0
christie,"بوب كريستي","Bob Christie","أمريكي","صورة فريق",0
gerard,"بوب جيرارد","Bob Gerard","بريطاني","صورة فريق",0
sweikert,"بوب سوايكرت","Bob Sweikert","أمريكي","صورة فريق",0
veith,"بوب فايث","Bob Veith","أمريكي","صورة فريق",0
